FamilyID	Bombus_bifarius<1>	Bombus_pyrosoma<2>	Bombus_affinis<3>	Bombus_terrestris<4>	<5>	<6>	<7>
N0.HOG0000127	1	-1	0	0	0	-1	0
N0.HOG0000129	0	-1	1	0	0	0	0
N0.HOG0000130	0	0	0	0	0	0	0
N0.HOG0000131	0	0	0	0	0	0	0
N0.HOG0000132	0	0	0	0	0	0	0
N0.HOG0000133	0	0	0	0	0	0	0
N0.HOG0000134	0	0	0	0	0	0	0
N0.HOG0000135	13	0	0	-1	0	-4	0
N0.HOG0000139	0	0	0	0	0	0	0
N0.HOG0000141	-1	0	0	0	0	0	0
N0.HOG0000142	0	0	0	0	0	0	0
N0.HOG0000144	-3	0	0	0	0	1	1
N0.HOG0000145	0	0	0	0	0	0	0
N0.HOG0000146	0	0	0	0	0	0	0
N0.HOG0000147	0	0	-1	0	0	0	0
N0.HOG0000148	0	0	-1	0	0	0	0
N0.HOG0000149	0	-1	0	0	0	0	0
N0.HOG0000152	10	0	0	0	0	-3	0
N0.HOG0000153	0	0	9	0	0	0	2
N0.HOG0000155	-1	0	-1	1	0	0	0
N0.HOG0000156	0	1	0	-1	0	0	0
N0.HOG0000157	0	0	0	0	0	0	1
N0.HOG0000158	0	0	0	0	0	0	0
N0.HOG0000159	0	0	0	0	0	0	0
N0.HOG0000160	0	0	-1	0	0	0	-1
N0.HOG0000161	0	0	0	0	0	0	0
N0.HOG0000165	0	0	0	0	0	0	-1
N0.HOG0000166	0	0	0	0	0	0	-1
N0.HOG0000167	0	0	0	0	0	0	-1
N0.HOG0000168	0	0	0	0	0	0	-1
N0.HOG0000169	0	0	0	0	0	0	-1
N0.HOG0000170	1	0	0	0	0	-1	-1
N0.HOG0000171	1	0	0	0	0	0	-1
N0.HOG0000173	0	0	0	0	0	0	0
N0.HOG0000174	0	0	0	0	0	0	0
N0.HOG0000175	0	0	0	0	0	0	0
N0.HOG0000176	0	0	0	0	0	0	0
N0.HOG0000177	0	0	-1	0	0	0	0
N0.HOG0000179	0	0	0	-1	0	0	0
N0.HOG0000180	0	0	0	-1	0	0	0
N0.HOG0000181	0	0	0	1	0	0	0
N0.HOG0000182	0	-1	0	0	0	0	0
N0.HOG0000183	-1	1	0	0	0	0	0
N0.HOG0000184	0	-1	0	1	0	0	2
N0.HOG0000187	0	-1	0	1	0	0	1
N0.HOG0000188	0	-1	-1	0	0	0	0
N0.HOG0000189	0	0	0	0	0	0	0
N0.HOG0000190	0	0	-1	7	0	0	0
N0.HOG0000191	1	0	0	0	0	-1	0
N0.HOG0000192	0	0	0	12	0	0	0
N0.HOG0000193	0	0	-1	0	0	0	0
N0.HOG0000194	0	-1	-1	0	0	0	0
N0.HOG0000195	-1	0	1	-1	0	0	0
N0.HOG0000196	1	0	0	0	0	0	0
N0.HOG0000197	0	0	-1	0	0	0	0
N0.HOG0000198	-1	0	1	-1	0	0	0
N0.HOG0000199	0	0	0	0	0	0	0
N0.HOG0000200	0	-1	2	-2	0	0	0
N0.HOG0000202	-1	0	0	4	0	0	2
N0.HOG0000204	0	13	0	0	0	0	-1
N0.HOG0000206	0	0	0	0	0	0	0
N0.HOG0000207	1	-1	0	0	0	0	0
N0.HOG0000208	0	0	0	0	0	0	-1
N0.HOG0000209	0	-1	12	-1	0	0	0
N0.HOG0000210	0	0	2	0	0	0	4
N0.HOG0000213	0	0	10	0	0	0	0
N0.HOG0000214	-1	0	-1	0	0	0	0
N0.HOG0000215	0	0	0	0	0	0	0
N0.HOG0000216	0	-1	-1	0	0	0	0
N0.HOG0000217	-1	2	0	0	0	0	0
N0.HOG0000218	1	0	0	0	0	0	0
N0.HOG0000219	0	0	0	0	0	0	0
N0.HOG0000220	0	-1	0	1	0	0	1
N0.HOG0000221	0	-1	9	-2	0	0	0
N0.HOG0000223	0	0	0	0	0	0	-1
N0.HOG0000224	0	4	0	0	0	0	-4
N0.HOG0000225	0	-1	-1	12	0	0	0
N0.HOG0000226	0	1	0	0	0	0	0
N0.HOG0000227	-1	1	0	0	0	0	0
N0.HOG0000228	0	0	0	0	0	0	0
N0.HOG0000229	0	0	0	0	0	0	0
N0.HOG0000230	0	1	0	0	0	0	0
N0.HOG0000231	0	0	0	-1	0	0	0
N0.HOG0000232	0	3	0	-1	0	0	0
N0.HOG0000233	0	0	7	0	0	0	1
N0.HOG0000234	7	0	0	0	0	-2	0
N0.HOG0000235	0	0	1	0	0	0	0
N0.HOG0000236	0	0	0	0	0	0	0
N0.HOG0000237	0	0	0	0	0	0	0
N0.HOG0000238	0	0	0	0	0	0	0
N0.HOG0000239	0	0	0	0	0	0	0
N0.HOG0000240	1	0	0	0	0	0	0
N0.HOG0000241	0	-1	0	4	0	0	3
N0.HOG0000242	0	0	-1	0	0	0	0
N0.HOG0000243	0	0	-1	0	0	0	0
N0.HOG0000244	0	4	-1	0	0	0	0
N0.HOG0000245	0	0	0	0	0	0	0
N0.HOG0000246	0	0	0	0	0	0	0
N0.HOG0000247	0	0	0	0	0	0	0
N0.HOG0000249	6	0	0	0	0	-2	0
N0.HOG0000250	0	0	0	0	0	0	0
N0.HOG0000251	0	0	0	0	0	0	0
N0.HOG0000252	0	0	0	0	0	0	0
N0.HOG0000253	0	0	0	8	0	0	0
N0.HOG0000254	0	0	0	6	0	0	1
N0.HOG0000255	0	0	-1	0	0	0	0
N0.HOG0000256	0	0	1	0	0	0	1
N0.HOG0000257	0	0	0	0	0	0	-1
N0.HOG0000258	0	0	0	0	0	0	0
N0.HOG0000259	0	0	0	-2	0	0	-1
N0.HOG0000260	0	0	0	0	0	0	0
N0.HOG0000261	0	0	0	-1	0	0	0
N0.HOG0000262	0	0	0	1	0	0	0
N0.HOG0000263	5	-1	0	-1	0	-1	0
N0.HOG0000264	4	0	-1	0	0	-1	0
N0.HOG0000268	0	0	0	0	0	0	0
N0.HOG0000269	0	0	0	-1	0	0	0
N0.HOG0000270	0	0	0	0	0	0	0
N0.HOG0000271	0	0	0	3	0	0	2
N0.HOG0000272	2	-1	-2	0	0	0	0
N0.HOG0000273	0	0	0	0	0	0	0
N0.HOG0000274	0	0	0	0	0	0	0
N0.HOG0000275	0	0	0	-1	0	0	0
N0.HOG0000276	0	0	0	0	0	0	0
N0.HOG0000277	0	0	0	0	0	0	0
N0.HOG0000278	-1	0	0	0	0	0	0
N0.HOG0000279	0	0	0	0	0	0	0
N0.HOG0000280	-1	0	0	0	0	0	0
N0.HOG0000282	0	0	7	0	0	0	0
N0.HOG0000283	0	0	0	0	0	0	0
N0.HOG0000284	0	-1	-1	0	0	0	0
N0.HOG0000285	0	0	0	0	0	0	0
N0.HOG0000286	0	0	0	0	0	0	2
N0.HOG0000287	1	0	0	0	0	0	-1
N0.HOG0000288	0	0	0	-1	0	0	0
N0.HOG0000289	1	-1	2	-2	0	0	0
N0.HOG0000290	3	0	0	-1	0	-1	0
N0.HOG0000291	1	-1	0	-1	0	-1	0
N0.HOG0000292	0	0	0	0	0	0	0
N0.HOG0000293	-1	0	-1	0	0	0	0
N0.HOG0000294	0	-1	0	0	0	0	0
N0.HOG0000295	0	-1	1	0	0	0	0
N0.HOG0000296	0	0	-1	0	0	0	0
N0.HOG0000297	0	0	0	0	0	0	3
N0.HOG0000298	3	0	0	0	0	-1	-1
N0.HOG0000299	0	0	6	0	0	0	0
N0.HOG0000300	0	0	0	0	0	0	0
N0.HOG0000301	0	0	0	0	0	0	-1
N0.HOG0000302	0	0	-1	0	0	0	0
N0.HOG0000303	2	-2	-2	0	0	-1	0
N0.HOG0000307	0	0	0	0	0	0	0
N0.HOG0000308	0	1	0	0	0	0	0
N0.HOG0000309	-1	2	0	0	0	0	0
N0.HOG0000310	2	-2	2	-1	0	0	0
N0.HOG0000311	0	-2	5	-2	0	0	0
N0.HOG0000312	0	0	0	0	0	0	0
N0.HOG0000313	0	1	0	0	0	0	0
N0.HOG0000314	0	-1	7	-1	0	0	0
N0.HOG0000315	0	0	0	1	0	0	2
N0.HOG0000316	0	0	-1	0	0	0	-1
N0.HOG0000317	0	1	0	0	0	0	0
N0.HOG0000318	0	0	0	0	0	0	0
N0.HOG0000319	0	0	-1	0	0	0	0
N0.HOG0000320	0	0	0	0	0	0	0
N0.HOG0000321	0	0	0	0	0	0	-1
N0.HOG0000324	0	0	0	0	0	0	0
N0.HOG0000325	0	0	0	0	0	0	0
N0.HOG0000326	0	0	0	0	0	0	0
N0.HOG0000327	0	0	0	0	0	0	0
N0.HOG0000328	0	0	0	0	0	0	0
N0.HOG0000329	0	0	0	0	0	0	0
N0.HOG0000330	0	0	0	0	0	0	0
N0.HOG0000331	0	0	0	0	0	0	0
N0.HOG0000332	-1	1	1	-1	0	0	0
N0.HOG0000333	0	0	0	0	0	0	0
N0.HOG0000334	0	0	0	0	0	0	0
N0.HOG0000335	0	0	0	0	0	0	0
N0.HOG0000336	0	0	0	0	0	0	0
N0.HOG0000337	0	0	0	0	0	0	0
N0.HOG0000338	0	0	0	0	0	0	0
N0.HOG0000339	0	0	0	0	0	0	2
N0.HOG0000340	0	0	0	0	0	0	0
N0.HOG0000341	0	0	0	0	0	0	0
N0.HOG0000342	0	0	0	0	0	0	0
N0.HOG0000343	0	0	0	0	0	0	0
N0.HOG0000344	0	0	0	0	0	0	0
N0.HOG0000345	0	0	0	0	0	0	0
N0.HOG0000346	0	0	0	0	0	0	0
N0.HOG0000347	0	0	0	0	0	0	0
N0.HOG0000348	1	0	0	0	0	0	0
N0.HOG0000349	0	0	-1	0	0	0	0
N0.HOG0000350	0	0	0	0	0	0	0
N0.HOG0000351	0	0	0	0	0	0	0
N0.HOG0000352	0	1	0	0	0	0	0
N0.HOG0000353	0	-1	0	0	0	0	0
N0.HOG0000355	0	0	0	0	0	0	-1
N0.HOG0000356	0	0	0	-1	0	0	0
N0.HOG0000357	0	0	0	0	0	0	-1
N0.HOG0000358	0	0	0	0	0	0	0
N0.HOG0000359	0	0	0	0	0	0	0
N0.HOG0000360	0	0	0	0	0	0	0
N0.HOG0000361	0	0	0	0	0	0	0
N0.HOG0000362	0	0	0	0	0	0	0
N0.HOG0000363	0	0	0	0	0	0	0
N0.HOG0000364	0	0	0	0	0	0	0
N0.HOG0000365	0	2	0	0	0	0	-1
N0.HOG0000366	-1	0	1	0	0	0	0
N0.HOG0000367	0	0	0	0	0	0	0
N0.HOG0000368	0	0	0	0	0	0	0
N0.HOG0000369	0	0	0	0	0	0	0
N0.HOG0000370	0	0	0	0	0	0	0
N0.HOG0000371	0	0	0	0	0	0	0
N0.HOG0000372	0	0	0	0	0	0	0
N0.HOG0000373	0	0	0	0	0	0	0
N0.HOG0000374	0	0	0	0	0	0	0
N0.HOG0000375	0	0	0	0	0	0	0
N0.HOG0000376	0	0	0	0	0	0	0
N0.HOG0000377	0	0	0	0	0	0	0
N0.HOG0000378	0	0	0	0	0	0	0
N0.HOG0000379	0	0	0	0	0	0	0
N0.HOG0000380	0	0	0	0	0	0	0
N0.HOG0000381	0	0	0	0	0	0	0
N0.HOG0000382	0	0	0	0	0	0	0
N0.HOG0000383	0	-1	0	1	0	0	2
N0.HOG0000385	0	0	0	0	0	0	0
N0.HOG0000386	0	0	0	0	0	0	0
N0.HOG0000388	0	0	0	-1	0	0	0
N0.HOG0000389	0	1	0	-1	0	0	0
N0.HOG0000390	0	0	0	0	0	0	0
N0.HOG0000391	0	0	0	0	0	0	0
N0.HOG0000392	0	0	0	0	0	0	0
N0.HOG0000393	0	0	0	0	0	0	0
N0.HOG0000394	0	0	0	0	0	0	0
N0.HOG0000395	0	0	0	0	0	0	0
N0.HOG0000396	0	0	0	0	0	0	0
N0.HOG0000397	0	0	0	0	0	0	0
N0.HOG0000398	0	0	0	0	0	0	0
N0.HOG0000399	0	0	0	0	0	0	0
N0.HOG0000401	0	-1	-1	0	0	0	0
N0.HOG0000402	0	-1	-1	0	0	0	0
N0.HOG0000403	0	0	0	0	0	0	0
N0.HOG0000404	0	0	0	0	0	0	0
N0.HOG0000405	0	0	0	0	0	0	0
N0.HOG0000406	0	0	0	0	0	0	0
N0.HOG0000407	0	0	0	0	0	0	-1
N0.HOG0000408	0	0	2	0	0	0	0
N0.HOG0000409	0	0	0	0	0	0	0
N0.HOG0000410	0	0	0	0	0	0	0
N0.HOG0000411	0	0	0	0	0	0	0
N0.HOG0000412	0	0	0	0	0	0	0
N0.HOG0000413	0	0	0	0	0	0	-1
N0.HOG0000414	0	0	0	0	0	0	1
N0.HOG0000415	0	0	-1	0	0	0	0
N0.HOG0000416	0	-2	0	-1	0	0	0
N0.HOG0000417	0	0	1	-1	0	0	0
N0.HOG0000418	0	0	-1	1	0	0	0
N0.HOG0000419	0	0	0	0	0	0	0
N0.HOG0000420	0	0	0	0	0	0	0
N0.HOG0000421	0	0	0	0	0	0	2
N0.HOG0000422	0	0	0	0	0	0	0
N0.HOG0000423	0	0	0	0	0	0	0
N0.HOG0000424	-1	1	0	0	0	0	0
N0.HOG0000425	0	0	0	0	0	0	0
N0.HOG0000426	0	0	0	0	0	0	0
N0.HOG0000427	0	0	0	0	0	0	0
N0.HOG0000428	0	0	0	0	0	0	0
N0.HOG0000430	0	0	-1	0	0	0	0
N0.HOG0000431	0	0	-1	0	0	0	0
N0.HOG0000432	0	0	0	3	0	0	0
N0.HOG0000433	0	-1	0	0	0	0	0
N0.HOG0000434	0	-1	2	-2	0	0	0
N0.HOG0000435	0	-1	0	0	0	0	2
N0.HOG0000436	0	-1	0	0	0	0	0
N0.HOG0000437	0	-1	0	0	0	0	0
N0.HOG0000438	0	0	0	0	0	0	0
N0.HOG0000439	-1	0	0	0	0	0	0
N0.HOG0000440	-1	0	0	0	0	0	0
N0.HOG0000441	-1	0	0	0	0	0	0
N0.HOG0000442	0	-1	-1	0	0	0	0
N0.HOG0000443	0	-1	0	0	0	0	0
N0.HOG0000444	0	-1	-1	0	0	0	0
N0.HOG0000445	0	0	-1	0	0	0	0
N0.HOG0000446	0	0	-1	0	0	0	0
N0.HOG0000447	0	0	0	0	0	0	0
N0.HOG0000448	0	-1	0	0	0	0	0
N0.HOG0000449	0	-1	0	0	0	0	0
N0.HOG0000450	0	-1	0	0	0	0	0
N0.HOG0000451	0	0	-1	0	0	0	0
N0.HOG0000452	0	0	0	0	0	0	0
N0.HOG0000453	0	-1	4	0	0	0	0
N0.HOG0000454	-1	0	0	0	0	0	0
N0.HOG0000455	0	0	-1	0	0	0	0
N0.HOG0000456	0	0	-1	0	0	0	0
N0.HOG0000457	-1	0	0	0	0	0	0
N0.HOG0000458	-1	0	0	0	0	0	0
N0.HOG0000459	0	0	0	0	0	0	0
N0.HOG0000460	0	0	-1	0	0	0	0
N0.HOG0000461	0	0	0	0	0	0	0
N0.HOG0000462	0	0	-1	0	0	0	0
N0.HOG0000463	0	0	0	3	0	0	0
N0.HOG0000465	0	0	0	0	0	0	-1
N0.HOG0000466	1	0	0	0	0	0	-1
N0.HOG0000467	-1	1	0	-1	0	0	0
N0.HOG0000468	0	3	0	0	0	0	0
N0.HOG0000469	0	1	0	0	0	0	-1
N0.HOG0000475	-1	0	0	-1	0	0	0
N0.HOG0000476	0	0	0	0	0	0	1
N0.HOG0000477	0	-1	-1	0	0	0	0
N0.HOG0000478	1	-1	0	0	0	0	0
N0.HOG0000480	0	0	0	0	0	0	-1
N0.HOG0000481	0	0	0	0	0	0	-1
N0.HOG0000482	1	0	0	0	0	-1	0
N0.HOG0000483	0	2	0	0	0	0	0
N0.HOG0000484	0	0	2	0	0	0	0
N0.HOG0000485	0	0	0	0	0	0	-1
N0.HOG0000486	0	0	0	0	0	0	-1
N0.HOG0000489	0	0	0	0	0	0	0
N0.HOG0000490	0	0	0	0	0	0	-1
N0.HOG0000491	0	0	0	0	0	0	0
N0.HOG0000492	0	0	0	0	0	0	-1
N0.HOG0000493	0	0	0	0	0	0	1
N0.HOG0000494	0	2	0	0	0	0	0
N0.HOG0000495	0	-1	-1	0	0	0	0
N0.HOG0000496	0	0	0	0	0	0	0
N0.HOG0000497	0	0	0	-1	0	0	0
N0.HOG0000498	0	0	0	0	0	0	-1
N0.HOG0000499	-1	0	0	-1	0	0	0
N0.HOG0000500	-1	0	-1	0	0	0	0
N0.HOG0000502	0	0	0	0	0	0	-1
N0.HOG0000503	0	0	0	0	0	0	-1
N0.HOG0000504	0	-1	0	0	0	0	0
N0.HOG0000505	0	-1	0	0	0	0	0
N0.HOG0000506	0	0	0	0	0	0	-1
N0.HOG0000507	0	0	0	0	0	0	-1
N0.HOG0000508	0	0	0	0	0	0	-1
N0.HOG0000509	0	0	0	0	0	0	-1
N0.HOG0000511	0	0	0	0	0	0	1
N0.HOG0000512	0	-1	0	-1	0	0	0
N0.HOG0000513	0	0	0	-2	0	0	0
N0.HOG0000514	1	0	0	0	0	-1	0
N0.HOG0000516	0	-1	0	-1	0	0	0
N0.HOG0000517	0	-1	0	-1	0	0	0
N0.HOG0000518	0	0	0	0	0	0	-1
N0.HOG0000519	0	0	0	0	0	0	0
N0.HOG0000520	-1	0	0	-1	0	0	0
N0.HOG0000521	0	0	0	0	0	0	1
N0.HOG0000522	0	0	0	0	0	0	1
N0.HOG0000523	0	0	0	0	0	0	1
N0.HOG0000524	0	0	0	0	0	0	1
N0.HOG0000525	0	-1	0	0	0	0	0
N0.HOG0000526	0	-1	0	-1	0	0	0
N0.HOG0000527	0	0	0	0	0	0	1
N0.HOG0000528	0	-1	-1	0	0	0	0
N0.HOG0000529	0	0	0	0	0	0	1
N0.HOG0000530	0	0	-1	0	0	0	0
N0.HOG0000531	0	0	0	0	0	0	-1
N0.HOG0000532	0	0	0	0	0	0	-1
N0.HOG0000533	0	0	0	0	0	0	-1
N0.HOG0000534	0	0	0	0	0	0	1
N0.HOG0000535	-1	0	0	-1	0	0	0
N0.HOG0000536	2	-1	0	0	0	-1	0
N0.HOG0000537	0	0	0	0	0	0	0
N0.HOG0000538	0	0	0	0	0	0	-1
N0.HOG0000539	0	2	0	0	0	0	0
N0.HOG0000541	2	-2	0	-2	0	0	0
N0.HOG0000545	3	-1	-1	0	0	-1	0
N0.HOG0000546	0	-1	-1	0	0	0	0
N0.HOG0000547	0	0	-1	1	0	0	0
N0.HOG0000548	0	2	0	0	0	0	-2
N0.HOG0000552	1	0	0	0	0	0	0
N0.HOG0000553	1	0	0	0	0	0	0
N0.HOG0000554	0	1	0	0	0	0	0
N0.HOG0000555	0	1	0	0	0	0	0
N0.HOG0000556	0	1	0	0	0	0	0
N0.HOG0000557	0	0	0	1	0	0	0
N0.HOG0000558	0	1	0	0	0	0	0
N0.HOG0000559	1	0	0	0	0	0	0
N0.HOG0000560	0	1	0	0	0	0	0
N0.HOG0000561	0	1	0	0	0	0	0
N0.HOG0000562	1	0	0	0	0	0	0
N0.HOG0000563	0	0	1	0	0	0	0
N0.HOG0000564	0	0	1	0	0	0	0
N0.HOG0000565	1	0	0	0	0	0	0
N0.HOG0000566	0	0	0	1	0	0	0
N0.HOG0000567	1	0	0	0	0	0	0
N0.HOG0000568	0	0	0	1	0	0	0
N0.HOG0000569	0	0	0	1	0	0	0
N0.HOG0000571	1	0	0	0	0	0	0
N0.HOG0000572	0	0	1	0	0	0	0
N0.HOG0000573	1	0	0	0	0	0	0
N0.HOG0000574	1	0	0	0	0	0	0
N0.HOG0000575	1	0	0	0	0	0	0
N0.HOG0000576	1	0	0	0	0	0	0
N0.HOG0000577	0	1	0	0	0	0	0
N0.HOG0000578	0	1	0	0	0	0	0
N0.HOG0000579	0	0	0	1	0	0	0
N0.HOG0000580	0	0	1	0	0	0	0
N0.HOG0000582	1	0	0	0	0	0	0
N0.HOG0000583	0	0	0	1	0	0	0
N0.HOG0000584	1	0	0	0	0	0	0
N0.HOG0000585	1	0	0	0	0	0	0
N0.HOG0000586	0	0	1	0	0	0	0
N0.HOG0000587	0	1	0	0	0	0	0
N0.HOG0000588	1	0	0	0	0	0	0
N0.HOG0000589	0	1	0	0	0	0	0
N0.HOG0000590	0	0	1	0	0	0	0
N0.HOG0000591	0	1	0	0	0	0	0
N0.HOG0000593	0	1	0	0	0	0	0
N0.HOG0000594	0	1	0	0	0	0	0
N0.HOG0000595	0	1	0	0	0	0	0
N0.HOG0000596	1	0	0	0	0	0	0
N0.HOG0000597	0	1	0	0	0	0	0
N0.HOG0000598	1	0	0	0	0	0	0
N0.HOG0000599	1	0	0	0	0	0	0
N0.HOG0000600	0	0	0	1	0	0	0
N0.HOG0000601	1	0	0	0	0	0	0
N0.HOG0000602	0	1	0	0	0	0	0
N0.HOG0000603	1	0	0	0	0	0	0
N0.HOG0000604	0	1	0	0	0	0	0
N0.HOG0000605	1	0	0	0	0	0	0
N0.HOG0000606	1	0	0	0	0	0	0
N0.HOG0000607	0	0	1	0	0	0	0
N0.HOG0000608	1	0	0	0	0	0	0
N0.HOG0000609	0	-1	0	0	0	0	0
N0.HOG0000610	0	-1	-1	0	0	0	0
N0.HOG0000611	1	0	0	0	0	0	0
N0.HOG0000612	0	1	0	0	0	0	0
N0.HOG0000613	1	0	0	0	0	0	0
N0.HOG0000614	1	0	0	0	0	0	0
N0.HOG0000615	1	-1	0	0	0	-1	0
N0.HOG0000616	1	0	0	0	0	0	0
N0.HOG0000617	1	0	0	0	0	0	0
N0.HOG0000618	1	0	0	0	0	0	0
N0.HOG0000619	1	0	0	0	0	0	0
N0.HOG0000620	1	0	0	0	0	0	0
N0.HOG0000621	0	0	0	1	0	0	0
N0.HOG0000623	0	0	0	1	0	0	0
N0.HOG0000624	1	0	0	0	0	0	0
N0.HOG0000625	1	0	0	0	0	0	0
N0.HOG0000626	1	0	0	0	0	0	0
N0.HOG0000628	1	0	0	0	0	0	0
N0.HOG0000629	0	1	0	0	0	0	0
N0.HOG0000630	1	0	0	0	0	0	0
N0.HOG0000631	0	1	0	0	0	0	0
N0.HOG0000632	0	1	0	0	0	0	0
N0.HOG0000633	0	1	0	0	0	0	0
N0.HOG0000634	1	0	0	0	0	0	0
N0.HOG0000635	1	0	0	0	0	0	0
N0.HOG0000636	0	0	0	1	0	0	0
N0.HOG0000637	1	0	0	0	0	0	0
N0.HOG0000638	0	1	0	0	0	0	0
N0.HOG0000639	1	0	0	0	0	0	0
N0.HOG0000640	0	1	0	0	0	0	0
N0.HOG0000641	0	1	0	0	0	0	0
N0.HOG0000642	0	0	0	1	0	0	0
N0.HOG0000644	0	0	0	1	0	0	0
N0.HOG0000645	1	0	0	0	0	0	0
N0.HOG0000646	1	0	0	0	0	0	0
N0.HOG0000647	0	0	1	0	0	0	0
N0.HOG0000648	1	0	0	0	0	0	0
